hunt_id,slot,name,voc,voc_name,level,supplies,balance_m
24692,1,Ed Reiss,ED,Elder Druid,95,-54593,192348
2884,1,Sipping Henn,RP,Royal Paladin,90,-49539,-19045
29463,1,Rezo Senpai,EM,Exalted Monk,53,-166930,-91873
29500,1,Rezo Senpai,EM,Exalted Monk,64,-109822,-64367
29576,1,Rezo Senpai,EM,Exalted Monk,74,-98948,-56842
29641,1,Rezo Senpai,EM,Exalted Monk,79,-60983,-30887
29651,1,Rezo Senpai,EM,Exalted Monk,81,-41312,4222
29679,1,Rezo Senpai,EM,Exalted Monk,88,-81548,21272
29732,1,Rezo Senpai,EM,Exalted Monk,92,-87648,-39815
29859,1,Rezo Senpai,EM,Exalted Monk,96,-82570,11560
30000,1,Rezo Senpai,EM,Exalted Monk,98,-181166,81587
36270,1,Xiolones,ED,Elder Druid,63,-100172,47589
36271,1,Xiolones,ED,Elder Druid,63,-76007,-71664
52560,1,Silversparrow,EM,Exalted Monk,82,-25303,13256
52572,1,Silversparrow,EM,Exalted Monk,82,-51679,11549
52667,1,Silversparrow,EM,Exalted Monk,84,-58978,-6279
52773,1,Silversparrow,EM,Exalted Monk,88,-19052,2095
52823,1,Silversparrow,EM,Exalted Monk,90,-18468,5960
53124,1,Silversparrow,EM,Exalted Monk,94,-46342,-8630
7709,1,Sir Magolords,MS,Master Sorcerer,52,-48607,142027
7885,1,Sir Magolords,MS,Master Sorcerer,54,-97118,382630
7991,1,Sir Magolords,MS,Master Sorcerer,61,-51238,157826
8019,1,Sir Magolords,MS,Master Sorcerer,62,-124645,346772
8063,1,Sir Magolords,MS,Master Sorcerer,65,-58372,211486
8186,1,Sir Magolords,MS,Master Sorcerer,67,-78160,349727
8259,1,Sir Magolords,MS,Master Sorcerer,69,-90642,369927
1109,1,Gosal,EK,Elite Knight,127,-79985,-42890
2394,1,Gosal,EK,Elite Knight,162,-120612,-120612
24526,1,Arkainne,RP,Royal Paladin,101,-43076,-7026
24985,1,Arkainne,RP,Royal Paladin,105,-52244,38533
27200,1,Arkainne,RP,Royal Paladin,141,-21516,63919
28023,1,Tril Roon,MS,Master Sorcerer,173,-55535,112726
28097,1,Arkainne,RP,Royal Paladin,170,-178144,72865
28098,1,Arkainne,RP,Royal Paladin,171,-86272,-86272
28101,1,Tril Roon,MS,Master Sorcerer,178,-109568,-77421
28952,1,Richard Druid,ED,Elder Druid,171,-108554,126297
28973,1,Lucadejalast Czkoteck,MS,Master Sorcerer,116,-7862,-4506
29013,1,Arkainne,RP,Royal Paladin,180,-261222,120806
29965,1,Tranquillino Calmitto,EM,Exalted Monk,176,-420760,354870
30044,1,Rezo Senpai,EM,Exalted Monk,102,-171278,15897
30149,1,Tranquillino Calmitto,EM,Exalted Monk,183,-139730,104888
30150,1,Tranquillino Calmitto,EM,Exalted Monk,183,-91505,29559
30153,1,Tranquillino Calmitto,EM,Exalted Monk,183,-236575,5616
30155,1,Tranquillino Calmitto,EM,Exalted Monk,183,-233218,88729
30160,1,Tranquillino Calmitto,EM,Exalted Monk,183,-170644,109863
31418,1,Lucadejalast Czkoteck,MS,Master Sorcerer,118,-54876,-15705
31920,1,Lucadejalast Czkoteck,MS,Master Sorcerer,115,-23042,-7223
33445,1,Kandydant,EM,Exalted Monk,182,-184298,60469
35841,1,Euclides Picfum,EM,Exalted Monk,136,-157622,-157622
37083,1,Skra Firadixo,ED,Elder Druid,167,-65722,87479
37085,1,Skra Firadixo,ED,Elder Druid,168,-52480,5477
37180,1,Skra Firadixo,ED,Elder Druid,168,-58512,12841
37608,1,Skra Firadixo,ED,Elder Druid,172,-50327,65879
38346,1,Cazuza Monk,EM,Exalted Monk,188,-77365,107395
38793,1,Ronan Monge Sombrio,EM,Exalted Monk,186,-295226,31417
38812,1,Ronan Monge Sombrio,EM,Exalted Monk,188,-162100,-70150
38835,1,Ronan Monge Sombrio,EM,Exalted Monk,189,-358036,-161402
38836,1,Ronan Monge Sombrio,EM,Exalted Monk,189,-448326,-200490
38955,1,Ronan Monge Sombrio,EM,Exalted Monk,193,-381512,-95114
39300,1,Monkusvic,EM,Exalted Monk,101,-51645,-45364
39992,1,Itz Cuproza,RP,Royal Paladin,165,-167420,11390
40531,1,Frodo Rodolfo,ED,Elder Druid,153,-166594,-53625
40912,1,Monkusvic,EM,Exalted Monk,158,-74388,27703
41129,1,Klaifiso,ED,Elder Druid,117,-8520,-2228
43891,1,Gralha Vermelha,MS,Master Sorcerer,195,-167317,348855
47748,1,Ostraktrium,EK,Elite Knight,147,-101836,-659
49116,1,Pimentao com calabresa,ED,Elder Druid,180,-149161,136327
49117,1,Pimentao com calabresa,ED,Elder Druid,180,-154870,162630
50575,1,Tecurastu,ED,Elder Druid,173,-317787,-317787
51512,1,Sana Vid,ED,Elder Druid,121,-24354,64559
52059,1,Senn Brieria,RP,Royal Paladin,169,-26066,348778
52356,1,Senn Brieria,RP,Royal Paladin,169,-36007,163742
55180,1,Raven Kerth,EM,Exalted Monk,176,-6490,-6490
55979,1,Raven Kerth,EM,Exalted Monk,181,-22690,326878
8446,1,Pirangueirom,EK,Elite Knight,127,-86715,-3200
9088,1,Vladimir Nosferatu,ED,Elder Druid,165,-211288,-93580
31664,1,Rama Frecha Fogo,RP,Royal Paladin,286,-48859,85414
31680,1,Tranquillino Calmitto,EM,Exalted Monk,269,-315999,91005
31796,1,Nukik,RP,Royal Paladin,208,-113026,27173
32006,1,Tranquillino Calmitto,EM,Exalted Monk,276,-328282,265685
32008,1,Tranquillino Calmitto,EM,Exalted Monk,276,-922995,687299
32806,1,Tino Mas San,RP,Royal Paladin,279,-150184,201799
33345,1,Mana Express,ED,Elder Druid,218,-147365,182292
33624,1,Akrus Eters,EM,Exalted Monk,218,-279774,111380
34426,1,Nukik,RP,Royal Paladin,292,-354832,-337441
34810,1,Nukik,RP,Royal Paladin,300,-12388,59641
35573,1,Bino Lew,RP,Royal Paladin,297,-612621,276137
35575,1,Bino Lew,RP,Royal Paladin,297,-665637,180381
36523,1,Verigo,RP,Royal Paladin,221,-253831,685836
37610,1,Axes of Venebra,EK,Elite Knight,225,-291027,269996
39090,1,Alberich Ironfist,EM,Exalted Monk,275,-6970,700868
39208,1,Arkfain Yena,RP,Royal Paladin,237,-149007,-34113
40956,1,Baiano Loro,RP,Royal Paladin,228,-151363,44256
42569,1,Jane Birkin,RP,Royal Paladin,207,-95505,153363
42613,1,Jane Birkin,RP,Royal Paladin,208,-169731,275640
42631,1,Jane Birkin,RP,Royal Paladin,208,-51932,62582
42658,1,Jane Birkin,RP,Royal Paladin,208,-159795,181287
43559,1,Detektyw Monkers,EM,Exalted Monk,201,-258390,24439
43565,1,Galadino,RP,Royal Paladin,214,-682634,334593
43679,1,Galadino,RP,Royal Paladin,218,-284231,193884
43708,1,Galadino,RP,Royal Paladin,221,-283921,256294
43805,1,Galadino,RP,Royal Paladin,223,-294832,214745
43806,1,Galadino,RP,Royal Paladin,223,-305736,202082
44274,1,Galadino,RP,Royal Paladin,243,-294461,344032
44304,1,Aaron Wynter,ED,Elder Druid,287,-87664,70144
44526,1,Galadino,RP,Royal Paladin,256,-470294,590851
44735,1,Galadino,RP,Royal Paladin,267,-1191602,1137440
44744,1,Galadino,RP,Royal Paladin,270,-395074,404307
44827,1,Galadino,RP,Royal Paladin,273,-940379,1802748
44971,1,Aegidavex Darok,EK,Elite Knight,240,-205944,970104
45096,1,Aegidavex Darok,EK,Elite Knight,245,-273774,213796
45119,1,Aegidavex Darok,EK,Elite Knight,245,-220412,212486
45415,1,Aegidavex Darok,EK,Elite Knight,252,-64828,228317
45417,1,Aegidavex Darok,EK,Elite Knight,253,-105928,454224
45419,1,Aegidavex Darok,EK,Elite Knight,253,-109046,474109
45449,1,Lord Tankalot,EK,Elite Knight,201,-1139432,-229870
48842,1,Dhuy Sio,ED,Elder Druid,232,-263600,742482
48885,1,Dhuy Sio,ED,Elder Druid,233,-486007,1400593
48969,1,Invocador Cruel,ED,Elder Druid,216,-131237,-131237
49093,1,Invocador Cruel,ED,Elder Druid,217,-140470,-140470
50312,1,Torvyn,EK,Elite Knight,247,-111035,92956
50318,1,Torvyn,EK,Elite Knight,247,-122032,221570
50358,1,Torvyn,EK,Elite Knight,253,-73494,300405
50364,1,Torvyn,EK,Elite Knight,253,-50355,152860
50574,1,Muti Paladin,RP,Royal Paladin,273,-567072,-47780
50582,1,Muti Paladin,RP,Royal Paladin,277,-207656,277887
50905,1,Torvyn,EK,Elite Knight,258,-28511,137106
51253,1,Torvyn,EK,Elite Knight,260,-151434,231954
51793,1,Nanesi,MS,Master Sorcerer,290,-124963,286066
