date,buy,sell
2026-08-18,237,250
2026-08-18,237,250
2026-08-19,231,248
2026-08-20,137,242
2026-08-20,137,242
2026-08-21,178,230
2026-08-22,180,235
2026-08-22,182,245
2026-08-23,182,243
2026-08-24,182,243
2026-08-25,183,247
2026-08-26,187,240
2026-08-26,187,240
2026-08-27,190,219
2026-08-28,194,242
2026-08-28,197,247
2026-08-29,199,246
2026-08-30,199,246
2026-08-31,199,246
2026-09-01,198,246
2026-09-01,198,246
2026-09-02,205,246
2026-09-03,214,248
2026-09-03,214,248
2026-09-04,219,248
2026-09-05,216,249
2026-09-06,215,248
2026-09-07,216,246
2026-09-08,214,246
2026-09-09,217,248
2026-09-09,221,248
2026-09-10,227,248
2026-09-11,227,248
2026-09-12,225,248
2026-09-13,229,247
2026-09-14,231,246
