date,buy,sell
2026-08-18,691,1030
2026-08-18,691,1030
2026-08-19,694,986
2026-08-20,666,928
2026-08-20,666,928
2026-08-21,655,943
2026-08-22,656,960
2026-08-22,664,910
2026-08-23,684,0
2026-08-24,684,0
2026-08-25,716,849
2026-08-26,736,853
2026-08-26,736,853
2026-08-27,702,879
2026-08-28,654,891
2026-08-28,657,996
2026-08-29,659,987
2026-08-30,659,987
2026-08-31,665,799
2026-09-01,664,813
2026-09-01,664,813
2026-09-02,651,948
2026-09-03,659,960
2026-09-03,659,960
2026-09-04,701,898
2026-09-05,702,1000
2026-09-06,703,0
2026-09-07,669,766
2026-09-08,650,721
2026-09-09,652,1134
2026-09-09,692,1132
2026-09-10,652,1199
2026-09-11,652,829
2026-09-12,669,861
2026-09-13,706,815
2026-09-14,703,793
