date,buy,sell
2026-08-18,246,0
2026-08-18,246,0
2026-08-19,247,275
2026-08-20,251,274
2026-08-20,251,274
2026-08-21,251,268
2026-08-22,251,275
2026-08-22,248,275
2026-08-23,245,257
2026-08-24,245,257
2026-08-25,246,264
2026-08-26,248,0
2026-08-26,248,0
2026-08-27,249,279
2026-08-28,256,260
2026-08-28,248,0
2026-08-29,250,272
2026-08-30,250,272
2026-08-31,246,275
2026-09-01,252,277
2026-09-01,252,277
2026-09-02,246,0
2026-09-03,246,0
2026-09-03,246,0
2026-09-04,248,285
2026-09-05,245,0
2026-09-06,244,0
2026-09-07,245,296
2026-09-08,238,0
2026-09-09,237,264
2026-09-09,237,277
2026-09-10,238,274
2026-09-11,233,0
2026-09-12,230,272
2026-09-13,235,275
2026-09-14,233,273
