date,buy,sell
2026-08-18,722,914
2026-08-18,722,914
2026-08-19,724,924
2026-08-20,726,915
2026-08-20,726,915
2026-08-21,731,924
2026-08-22,742,899
2026-08-22,705,961
2026-08-23,702,953
2026-08-24,702,953
2026-08-25,663,897
2026-08-26,674,899
2026-08-26,674,899
2026-08-27,708,891
2026-08-28,691,910
2026-08-28,677,929
2026-08-29,706,0
2026-08-30,706,0
2026-08-31,625,935
2026-09-01,602,850
2026-09-01,602,850
2026-09-02,578,931
2026-09-03,700,925
2026-09-03,700,925
2026-09-04,682,903
2026-09-05,692,870
2026-09-06,691,953
2026-09-07,702,909
2026-09-08,695,880
2026-09-09,704,942
2026-09-09,693,948
2026-09-10,695,931
2026-09-11,711,886
2026-09-12,715,928
2026-09-13,639,932
2026-09-14,705,918
