date,buy,sell
2026-08-18,389,483
2026-08-18,389,483
2026-08-19,371,482
2026-08-20,370,471
2026-08-20,370,471
2026-08-21,379,453
2026-08-22,390,449
2026-08-22,382,443
2026-08-23,735,932
2026-08-24,735,932
2026-08-25,432,1081
2026-08-26,451,859
2026-08-26,451,859
2026-08-27,475,793
2026-08-28,493,637
2026-08-28,494,579
2026-08-29,473,566
2026-08-30,473,566
2026-08-31,475,551
2026-09-01,479,529
2026-09-01,479,529
2026-09-02,413,517
2026-09-03,410,481
2026-09-03,410,481
2026-09-04,404,491
2026-09-05,373,464
2026-09-06,356,484
2026-09-07,365,511
2026-09-08,380,561
2026-09-09,380,486
2026-09-09,354,414
2026-09-10,354,540
2026-09-11,225,643
2026-09-12,276,707
2026-09-13,319,790
2026-09-14,355,750
