date,buy,sell
2026-08-18,278,299
2026-08-18,278,299
2026-08-19,280,0
2026-08-20,282,286
2026-08-20,282,286
2026-08-21,281,296
2026-08-22,283,295
2026-08-22,275,297
2026-08-23,267,299
2026-08-24,267,299
2026-08-25,269,298
2026-08-26,282,0
2026-08-26,282,0
2026-08-27,287,300
2026-08-28,289,301
2026-08-28,287,0
2026-08-29,290,0
2026-08-30,290,0
2026-08-31,288,291
2026-09-01,287,0
2026-09-01,287,0
2026-09-02,277,0
2026-09-03,273,299
2026-09-03,273,299
2026-09-04,282,298
2026-09-05,287,0
2026-09-06,287,0
2026-09-07,276,0
2026-09-08,266,291
2026-09-09,234,262
2026-09-09,252,0
2026-09-10,259,298
2026-09-11,258,0
2026-09-12,256,0
2026-09-13,256,296
2026-09-14,254,294
